NodeName,NeId,Object,Time,Interval,Direction,NeAlias,NeType,Position,PowerTLTMmin,PowerTLTMmax,SecondsTLTS1,IdLogNum,PowerRLTMmin,PowerRLTMmax,SecondsRLTS1,SecondsRLTS2,ES,SES,BBE,UAS
SOEM-M,9388,HC,2013-01-01 09:45:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,,,,,10.0,3.0,1400.0,0.0
SOEM-M,9388,RAU,2013-01-01 09:45:00,15,Near End,a459_00459_04062_6879.341,1+0,-,10.0,14.0,0.0,0,,,,,,,,
SOEM-M,9388,RAU,2013-01-01 09:45:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,-51.1,-49.9,0.0,0.0,,,,
SOEM-M,9388,HC,2013-01-01 10:00:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,,,,,5.0,3.0,431.0,0.0
SOEM-M,9388,RAU,2013-01-01 10:00:00,15,Near End,a459_00459_04062_6879.341,1+0,-,10.0,14.0,0.0,0,,,,,,,,
SOEM-M,9388,RAU,2013-01-01 10:00:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,-51.1,-49.6,0.0,0.0,,,,
SOEM-M,9388,RAU,2013-01-01 10:15:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,-50.8,-50.2,0.0,0.0,,,,
SOEM-M,9388,HC,2013-01-01 10:15:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,,,,,0.0,0.0,0.0,0.0
SOEM-M,9388,RAU,2013-01-01 10:15:00,15,Near End,a459_00459_04062_6879.341,1+0,-,11.0,13.0,0.0,0,,,,,,,,
SOEM-M,9388,RAU,2013-01-01 10:30:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,-50.8,-49.6,0.0,0.0,,,,
SOEM-M,9388,RAU,2013-01-01 10:30:00,15,Near End,a459_00459_04062_6879.341,1+0,-,12.0,13.0,0.0,0,,,,,,,,
SOEM-M,9388,HC,2013-01-01 10:30:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,,,,,3.0,0.0,683.0,0.0
SOEM-M,9388,HC,2013-01-01 10:45:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,,,,,2.0,1.0,234.0,0.0
SOEM-M,9388,RAU,2013-01-01 10:45:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,-50.8,-50.2,0.0,0.0,,,,
SOEM-M,9388,RAU,2013-01-01 10:45:00,15,Near End,a459_00459_04062_6879.341,1+0,-,11.0,13.0,0.0,0,,,,,,,,
SOEM-M,9388,HC,2013-01-01 11:00:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,,,,,5.0,0.0,687.0,0.0
SOEM-M,9388,RAU,2013-01-01 11:00:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,-50.8,-50.2,0.0,0.0,,,,
SOEM-M,9388,RAU,2013-01-01 11:00:00,15,Near End,a459_00459_04062_6879.341,1+0,-,12.0,13.0,0.0,0,,,,,,,,
SOEM-M,9388,HC,2013-01-01 11:15:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,,,,,1.0,0.0,59.0,0.0
SOEM-M,9388,RAU,2013-01-01 11:15:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,-50.8,-50.2,0.0,0.0,,,,
SOEM-M,9388,RAU,2013-01-01 11:15:00,15,Near End,a459_00459_04062_6879.341,1+0,-,12.0,13.0,0.0,0,,,,,,,,
SOEM-M,9388,RAU,2013-01-01 11:30:00,15,Near End,a459_00459_04062_6879.341,1+0,-,13.0,13.0,0.0,0,,,,,,,,
SOEM-M,9388,RAU,2013-01-01 11:30:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,-50.8,-50.2,0.0,0.0,,,,
SOEM-M,9388,HC,2013-01-01 11:30:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,,,,,3.0,1.0,214.0,0.0
SOEM-M,9388,HC,2013-01-01 11:45:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,,,,,0.0,0.0,0.0,0.0
SOEM-M,9388,RAU,2013-01-01 11:45:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,-50.8,-50.2,0.0,0.0,,,,
SOEM-M,9388,RAU,2013-01-01 11:45:00,15,Near End,a459_00459_04062_6879.341,1+0,-,12.0,13.0,0.0,0,,,,,,,,
SOEM-M,9388,HC,2013-01-01 12:00:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,,,,,4.0,3.0,58.0,0.0
